year,city,country,avg_temp,5Y MA,10Y MA
1804,New York,United States,9.69,9.926,9.556
1805,New York,United States,10.43,10.096,9.678
1806,New York,United States,9.38,9.972,9.719
1807,New York,United States,9.17,9.748,9.751
1808,New York,United States,9.57,9.648,9.737
1809,New York,United States,8.87,9.484,9.705
1810,New York,United States,9.35,9.268,9.682
1811,New York,United States,9.43,9.278,9.625
1812,New York,United States,7.8,9.004,9.376
1813,New York,United States,8.93,8.876,9.262
1814,New York,United States,8.7,8.842,9.163
1815,New York,United States,8.27,8.626,8.947
1816,New York,United States,7.92,8.324,8.801
1817,New York,United States,7.78,8.32,8.662
1818,New York,United States,8.13,8.16,8.518
1819,New York,United States,9.07,8.234,8.538
1820,New York,United States,8.98,8.376,8.501
1821,New York,United States,8.53,8.498,8.411
1822,New York,United States,9.84,8.91,8.615
1823,New York,United States,8.64,9.012,8.586
1824,New York,United States,9.29,9.056,8.645
1825,New York,United States,10.21,9.302,8.839
1826,New York,United States,9.92,9.58,9.039
1827,New York,United States,9.26,9.464,9.187
1828,New York,United States,10.7,9.876,9.444
1829,New York,United States,9.17,9.852,9.454
1830,New York,United States,10.32,9.874,9.588
1831,New York,United States,9.07,9.704,9.642
1832,New York,United States,9.15,9.682,9.573
1833,New York,United States,9.15,9.372,9.624
1834,New York,United States,9.32,9.402,9.627
1835,New York,United States,8.48,9.034,9.454
1836,New York,United States,7.51,8.722,9.213
1837,New York,United States,8.12,8.516,9.099
1838,New York,United States,8.73,8.432,8.902
1839,New York,United States,9.17,8.402,8.902
1840,New York,United States,9.27,8.56,8.797
1841,New York,United States,9,8.858,8.79
1842,New York,United States,9.41,9.116,8.816
1843,New York,United States,8.49,9.068,8.75
1844,New York,United States,9.12,9.058,8.73
1845,New York,United States,9.49,9.102,8.831
1846,New York,United States,9.66,9.234,9.046
1847,New York,United States,9.3,9.212,9.164
1848,New York,United States,9.54,9.422,9.245
1849,New York,United States,8.83,9.364,9.211
1850,New York,United States,9.1,9.286,9.194
1851,New York,United States,9.26,9.206,9.22
1852,New York,United States,8.98,9.142,9.177
1853,New York,United States,9.68,9.17,9.296
1854,New York,United States,9.56,9.316,9.34
1855,New York,United States,9.11,9.318,9.302
1856,New York,United States,8.2,9.106,9.156
1857,New York,United States,8.52,9.014,9.078
1858,New York,United States,9.13,8.904,9.037
1859,New York,United States,9.17,8.826,9.071
1860,New York,United States,9.18,8.84,9.079
1861,New York,United States,9.47,9.094,9.1
1862,New York,United States,9,9.19,9.102
1863,New York,United States,9.09,9.182,9.043
1864,New York,United States,9.29,9.206,9.016
1865,New York,United States,9.64,9.298,9.069
1866,New York,United States,8.95,9.194,9.144
1867,New York,United States,8.59,9.112,9.151
1868,New York,United States,7.95,8.884,9.033
1869,New York,United States,8.85,8.796,9.001
1870,New York,United States,10.04,8.876,9.087
1871,New York,United States,8.94,8.874,9.034
1872,New York,United States,8.61,8.878,8.995
1873,New York,United States,8.44,8.976,8.93
1874,New York,United States,9.06,9.018,8.907
1875,New York,United States,7.74,8.558,8.717
1876,New York,United States,9.35,8.64,8.757
1877,New York,United States,10.15,8.948,8.913
1878,New York,United States,10.38,9.336,9.156
1879,New York,United States,9.37,9.398,9.208
1880,New York,United States,9.99,9.848,9.203
1881,New York,United States,9.77,9.932,9.286
1882,New York,United States,9.22,9.746,9.347
1883,New York,United States,8.59,9.388,9.362
1884,New York,United States,9.36,9.386,9.392
1885,New York,United States,8.37,9.062,9.455
1886,New York,United States,8.9,8.888,9.41
1887,New York,United States,9.1,8.864,9.305
1888,New York,United States,8.31,8.808,9.098
1889,New York,United States,9.86,8.908,9.147
1890,New York,United States,9.62,9.158,9.11
1891,New York,United States,10,9.378,9.133
1892,New York,United States,9.15,9.388,9.126
1893,New York,United States,8.68,9.462,9.135
1894,New York,United States,9.95,9.48,9.194
1895,New York,United States,9.22,9.4,9.279
1896,New York,United States,9.51,9.302,9.34
1897,New York,United States,9.63,9.398,9.393
1898,New York,United States,10.24,9.71,9.586
1899,New York,United States,9.51,9.622,9.551
1900,New York,United States,10.4,9.858,9.629
1901,New York,United States,9.29,9.814,9.558
1902,New York,United States,9.43,9.774,9.586
1903,New York,United States,9.32,9.59,9.65
1904,New York,United States,7.87,9.262,9.442
1905,New York,United States,9.1,9.002,9.43
1906,New York,United States,9.9,9.124,9.469
1907,New York,United States,8.49,8.936,9.355
1908,New York,United States,9.87,9.046,9.318
1909,New York,United States,9.51,9.374,9.318
1910,New York,United States,9.55,9.464,9.233
1911,New York,United States,9.91,9.466,9.295
1912,New York,United States,9.24,9.616,9.276
1913,New York,United States,10.76,9.794,9.42
1914,New York,United States,9.02,9.696,9.535
1915,New York,United States,9.85,9.756,9.61
1916,New York,United States,9.1,9.594,9.53
1917,New York,United States,8.24,9.394,9.505
1918,New York,United States,9.51,9.144,9.469
1919,New York,United States,10.05,9.35,9.523
1920,New York,United States,9.19,9.218,9.487
1921,New York,United States,10.91,9.58,9.587
1922,New York,United States,10.04,9.94,9.667
1923,New York,United States,9.51,9.94,9.542
1924,New York,United States,8.85,9.7,9.525
1925,New York,United States,9.72,9.806,9.512
1926,New York,United States,8.54,9.332,9.456
1927,New York,United States,9.7,9.264,9.602
1928,New York,United States,9.82,9.326,9.633
1929,New York,United States,9.97,9.55,9.625
1930,New York,United States,10.22,9.65,9.728
1931,New York,United States,11.03,10.148,9.74
1932,New York,United States,10.44,10.296,9.78
1933,New York,United States,10.18,10.368,9.847
1934,New York,United States,9.48,10.27,9.91
1935,New York,United States,9.48,10.122,9.886
1936,New York,United States,9.73,9.862,10.005
1937,New York,United States,10.16,9.806,10.051
1938,New York,United States,10.42,9.854,10.111
1939,New York,United States,10.07,9.972,10.121
1940,New York,United States,8.53,9.782,9.952
1941,New York,United States,10.19,9.874,9.868
1942,New York,United States,9.96,9.834,9.82
1943,New York,United States,9.58,9.666,9.76
1944,New York,United States,10.01,9.654,9.813
1945,New York,United States,9.94,9.936,9.859
1946,New York,United States,10.63,10.024,9.949
1947,New York,United States,9.91,10.014,9.924
1948,New York,United States,9.83,10.064,9.865
1949,New York,United States,11.39,10.34,9.997
1950,New York,United States,9.72,10.296,10.116
1951,New York,United States,10.27,10.224,10.124
1952,New York,United States,10.52,10.346,10.18
1953,New York,United States,11.17,10.614,10.339
1954,New York,United States,10.31,10.398,10.369
1955,New York,United States,10.39,10.532,10.414
1956,New York,United States,9.75,10.428,10.326
1957,New York,United States,10.5,10.424,10.385
1958,New York,United States,9.16,10.022,10.318
1959,New York,United States,10.77,10.114,10.256
1960,New York,United States,9.76,9.988,10.26
1961,New York,United States,10.03,10.044,10.236
1962,New York,United States,9.32,9.808,10.116
1963,New York,United States,9.32,9.84,9.931
1964,New York,United States,9.96,9.678,9.896
1965,New York,United States,9.63,9.652,9.82
1966,New York,United States,9.75,9.596,9.82
1967,New York,United States,9.3,9.592,9.7
1968,New York,United States,9.75,9.678,9.759
1969,New York,United States,9.76,9.638,9.658
1970,New York,United States,9.77,9.666,9.659
1971,New York,United States,10.01,9.718,9.657
1972,New York,United States,9.49,9.756,9.674
1973,New York,United States,10.96,9.998,9.838
1974,New York,United States,10.08,10.062,9.85
1975,New York,United States,10.56,10.22,9.943
1976,New York,United States,9.53,10.124,9.921
1977,New York,United States,9.96,10.218,9.987
1978,New York,United States,9.17,9.86,9.929
1979,New York,United States,10.02,9.848,9.955
1980,New York,United States,9.86,9.708,9.964
1981,New York,United States,9.95,9.792,9.958
1982,New York,United States,9.78,9.756,9.987
1983,New York,United States,10.51,10.024,9.942
1984,New York,United States,10.26,10.072,9.96
1985,New York,United States,10.26,10.152,9.93
1986,New York,United States,10.15,10.192,9.992
1987,New York,United States,10.32,10.3,10.028
1988,New York,United States,9.93,10.184,10.104
1989,New York,United States,9.66,10.064,10.068
1990,New York,United States,11.32,10.276,10.214
1991,New York,United States,11.36,10.518,10.355
1992,New York,United States,9.57,10.368,10.334
1993,New York,United States,10.04,10.39,10.287
1994,New York,United States,10,10.458,10.261
1995,New York,United States,10.24,10.242,10.259
1996,New York,United States,9.81,9.932,10.225
1997,New York,United States,10,10.018,10.193
1998,New York,United States,11.82,10.374,10.382
1999,New York,United States,11.16,10.606,10.532
2000,New York,United States,9.97,10.552,10.397
2001,New York,United States,10.93,10.776,10.354
2002,New York,United States,11.25,11.026,10.522
2003,New York,United States,9.84,10.63,10.502
2004,New York,United States,10.39,10.476,10.541
2005,New York,United States,10.68,10.618,10.585
2006,New York,United States,11.52,10.736,10.756
2007,New York,United States,10.63,10.612,10.819
2008,New York,United States,10.64,10.772,10.701
2009,New York,United States,10.14,10.722,10.599
2010,New York,United States,11.36,10.858,10.738
2011,New York,United States,11.27,10.808,10.772
2012,New York,United States,11.97,11.076,10.844
2013,New York,United States,12.16,11.38,11.076
